"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
124,11804229780000,"Index File-2inch Huajie",Stationary,75,75,Huajie,31,31
125,11804229790000,"Index File-3inch Huajie",Stationary,73,73,Huajie,5,5
126,11804157910000,"Kitchen Tissue","Tissue Paper",42.5,42.5,Bashundhara,8,8
127,11804229230000,"Ladies Finger",Vegetables,0,0,Local,0,0
128,11804157920000,"Lifebuoy - 100gm",Soap,25.78,25.78,Uniliver,2,2
129,11804229240000,"Lifebuoy - 100gm-lemon",Vegetables,25.78,25.78,Local,23,23
130,11804157930000,"Lifebuoy Liquid 180 ml",Handwash,46.7,46.7,Uniliver,17,17
131,11807059890000,"Lux - 100gm",Soap,28.5,28.5,Uniliver,10,10
132,11807059880000,"Lux - 150gm",Soap,37.58,37.58,Uniliver,10,10
133,11804157950000,"Lux - 40gm",Soap,8.94,8.94,Uniliver,5,5
134,11804157940000,"Lux - 75gm",Soap,22.08,22.08,Uniliver,58,58
135,11804229250000,Malta,Fruit,0,0,Local,0,0
136,11804229260000,"Me-O Dry Food","Cat Food",230,230,,1,1
137,11804229270000,"Me-O Wet Food (Can)","Cat Food",140,140,,1,1
138,11804157960000,"Milk Powder-1kg","Pantry Items",552,552,"Newzealand Dairy",4,4
139,11804157970000,"Milk Powder-1kg (02)","Pantry Items",430,430,"Abul Khair",1,1
140,11807059900000,"Milk Powder-400gm Dano","Pantry Items",219,219,Arla,11,11
141,11804157980000,"Milk Powder-500gm","Pantry Items",274,274,"Newzealand Dairy",9,9
142,11804157990000,"Milk Powder-500gm (02)","Pantry Items",0,0,Akij,0,0
143,11804158000000,"Milk Powder-500gm(03)","Pantry Items",219,219,"Abul Khair",4,4
144,11804158010000,"Milk Powder-500gm(04)","Pantry Items",269,269,Arla,14,14
145,11804158020000,MOP,"Cleaning Accessories",100,100,Local,4,4
146,11804158030000,"MOP Head","Cleaning Accessories",40,40,Local,17,17
147,11804158040000,"Mr. Brasso - 350 ml Refill","Glass Cleaner",70,70,"Reckitt & Benckeiser Ltd",25,25
148,11804158050000,"Mr. Brasso with Spray - 350ml","Glass Cleaner",90,90,"Reckitt & Benckeiser Ltd",6,6
149,11804158060000,Napthalene,"Air Freshners",0,0,Local,0,0
150,11804158070000,"Nescafe Classic-100gm","Pantry Items",215,215,Nestle,2,2
151,11804158080000,"Nescafe Gold-200gm","Pantry Items",570,570,Nestle,3,3
152,11804158090000,"Nescafe Original-200gm","Pantry Items",315,315,Nestle,5,5
153,11804158100000,"Nimki Biscuit","Pantry Items",60,60,"Fuwang Food",1,1
154,11804158110000,Odonil,"Air Freshners",35,35,"Reckitt & Benckeiser Ltd",13,13
155,11804229280000,"Onion (Indian)",Cooking,0,0,Local,0,0
156,11804229290000,"Onion (Local)",Cooking,0,0,Local,0,0
157,11804229300000,Orange,Fruit,0,0,Local,0,0
